product_name,product_price,original_price,discount_percentage,product_rating,reviews_count,estimated_amount_bought
DELL Latitude 3180 Intel Celeron 128GB SSD 4GB RAM Wins 10pro + Bag,"₦ 190,000","₦ 250,000",24%,N/A,3,30.0
Hp EliteBook 830 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit TOUCHSCREEN/FP Reader Wins 11 Laptop +BAG,"₦ 560,000 - ₦ 590,000","₦ 700,000",20%,N/A,1,10.0
Hp CHROMEBOOK 11 INTEL CELERON 4GB RAM 16GB WINS 10,"₦ 127,500","₦ 145,000",12%,N/A,0,0.0
Hp Stream- Intel Celeron - 32GB SSD 4GB RAM Windows 10 PRO+ USB Light For Keyboard,"₦ 155,000",N/A,N/A,N/A,0,0.0
DELL Latitude 7490 Intel Core I7- 1TB SSD/16GB RAM BACKLIGHT KEYBOARD/WIN 11 PRO+BAG,"₦ 700,000","₦ 800,000",13%,N/A,0,0.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,"₦ 190,000","₦ 875,000",78%,N/A,0,0.0
Hp ProBook 11 X360- TouchScreen  - Intel Pentium 256GB SSD 4GB RAM TOUCH WIN10 Pro,"₦ 220,000","₦ 250,000",12%,4.7,6,60.0
"Hp CHROMEBOOK ,INTEL CELERON, 4GB RAM,16GB SSD +BAG","₦ 120,000",N/A,N/A,N/A,0,0.0
Hp  EliteBook 840 G5 Intel Core I5-32GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro +BAG,"₦ 550,000",N/A,N/A,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5- Backlit Keyboard/FP Reader 12GB RAM/256GB SSD Win 11 Pro + BAG,"₦ 463,200","₦ 790,000",41%,N/A,3,30.0
"DELL Latitude 3350 Intel Core I3 8GB RAM, 256GB SSD Windows 11 + Keyboard Flash Light","₦ 299,999","₦ 300,000",1%,N/A,1,10.0
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop+BAG,"₦ 510,000","₦ 850,000",40%,4.3,9,90.0
"Hp Stream 11 Mini Intel Celeron Dual Core,11.6Inches,(32GB SSD,4GB RAM+32GB Flash,Mouse,USB Light For Keyboard) Windows 10","₦ 190,000","₦ 875,000",78%,N/A,1,10.0
Hp ProBook 11 X360- TOUCH- 512GB SSD/8GB RAM-Intel CELERON QUAD CORE WIN10 Pro +MOUSE,"₦ 340,000",N/A,N/A,N/A,0,0.0
DELL Latitude 5400 TOUCHSCREEN Intel Core I5-512GB SSD/16GB RAM Keyboard BACKLIT /WIN 11 PRO+ BAG,"₦ 475,000","₦ 850,000",44%,N/A,3,30.0
"DELL Latitude 3340, Intel Celeron, 500GB 8GB RAM Windows 10 Pro","₦ 350,000",N/A,N/A,4.5,2,20.0
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000",N/A,N/A,N/A,1,10.0
Hp EliteBook 845 G8 - Ryzen 5 Pro 5650U/AMD 2.3 - 16GB RAM/512GB SSD WIN 11 PRO+BAG,"₦ 590,000","₦ 792,000",26%,4.8,9,90.0
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 470,000","₦ 550,000",15%,4.7,9,90.0
Hp EliteBook 840 G5 Intel Core I5-32GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,"₦ 575,000","₦ 650,000",12%,N/A,0,0.0
Hp Chromebook 11 Celeron 2gb RAM 32gb Windows10,"₦ 130,000","₦ 145,000",10%,N/A,0,0.0
DELL Latitude 3190 INTEL CELERON 128GB SSD 4GB WIN 10 Pro+pouch,"₦ 200,000",N/A,N/A,N/A,2,20.0
"Hp Envy 15 X360 13th Gen, Intel Core I7 (16GB/1TB SSD) Touch/Backlit Keyboard, Wins 11+Mouse","₦ 1,590,500","₦ 1,699,000",6%,N/A,1,10.0
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro,"₦ 569,000","₦ 900,000",37%,N/A,0,0.0
Hp ELITEBOOK X360 1040 G7 TOUCHSCREEN IntelCORE I7-16GB RAM/512GB SSD/BACKLIGHT KEYBOARD/WIN11 PRO+BAG,"₦ 940,000","₦ 1,300,000",28%,N/A,0,0.0
"DELL Latitude 7490 Intel Core I5, Keyboard Backlit, 8GB RAM, 256GB SSD Windows 11 + Free Mouse","₦ 380,000","₦ 450,000",16%,N/A,0,0.0
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 16GB WINS 10,"₦ 95,000",N/A,N/A,N/A,0,0.0
Hp EliteBook 830 G5 Intel Core I5-8GB RAM/256GB SSD/Backlit/ TOUCHSCREEN- FP Reader Wins 11 Pro + BAG,"₦ 500,000","₦ 700,000",29%,N/A,0,0.0
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Win11+BAG,"₦ 560,000","₦ 950,000",41%,4.2,6,60.0
Hp PROBOOK 11 X360 TOUCHSCREEN 4GB RAM 128GB SSD INTEL PENTIUM Windows 10,"₦ 300,000",N/A,N/A,N/A,2,20.0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 510,000","₦ 799,000",36%,N/A,1,10.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Win10 P,"₦ 180,999",N/A,N/A,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD + BAG,"₦ 510,000","₦ 935,000",45%,N/A,0,0.0
Hp ELITEBOOK X360 830 G7 TOUCHSCREEN CORE I5/16GB RAM/512GB SSD/BACKLIT KEYBOARD /FP READER- WINDOW 11,"₦ 650,000","₦ 740,000",12%,4.8,4,40.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO HP +Mouse &USB Light For Keyboard,"₦ 190,000","₦ 300,000",37%,N/A,0,0.0
Acer ASPIRE 5 256GB 8GB AMD RYZEN5,"₦ 585,600",N/A,N/A,N/A,1,10.0
Hp EliteBook 830 G5 Intel Core I5-8GB RAM/512GB SSD/Backlit TOUCHSCREEN/FP Reader Wins 11 Laptop +BAG,"₦ 500,000","₦ 705,000",29%,N/A,1,10.0
Lenovo 10W QUALCOMM SNAPDRAGON 4GB RAM 64GB EMMC 10.1 TOUCH DETACHABLE WINS 11,"₦ 240,000","₦ 289,000",17%,N/A,1,10.0
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/256 SSD/Backlit Keyboard/FP Reader Win 11 Pro Laptop + BAG,"₦ 472,850","₦ 990,000",52%,N/A,1,10.0
Hp CHROMEBOOK 11 INTEL CELERON 4GB RAM 16GB WINS 10+light,"₦ 120,000",N/A,N/A,N/A,1,10.0
Hp OMEN TRANSCEND 14 14TH GEN INTEL CORE ULTRA 9 UP TO 5.1GHz 32GB RAM 1TB SSD RTX 4070 (8GB) WINS 11,"₦ 3,999,999","₦ 4,500,000",11%,N/A,0,0.0
"DELL Refurbished Dell Latitude E5470 14-Inch Laptop (Intel Core-i5-6300U Upto 3.0 GHz, 8GB RAM 256GB ROM..","₦ 272,290","₦ 350,000",22%,N/A,0,0.0
"Hp Spectre14 X360 (2024) - 14th Gen Intel Core Ultra 7 155H Processor - 16GB RAM / 1TB SSD - 14.0"" 2.8K OLED Touchscreen - 9MP IR Camera - Intel Arc Graphics - Fingerprint Reader - Rechargeable MPP 2.0 Tilt Pen - Windows 11","₦ 2,599,000","₦ 4,200,000",38%,N/A,0,0.0
Hp CHROMEBOOK 11 INTEL CELERON 4GB RAM 16GB WINS 10+ Mouse And Light,"₦ 129,000","₦ 145,000",11%,N/A,0,0.0
"Hp CHROMEBOOK G4,INTEL CELERON,4GB RAM,32GB SSD, WINS 10","₦ 140,000",N/A,N/A,N/A,0,0.0
"DELL Latitude 3350 Intel Pentium 8GB RAM, 256GB SSD Windows 11 + Keyboard Flash Light","₦ 350,000","₦ 400,000",13%,N/A,1,10.0
Hp  Stream 11 Laptop- Intel Celeron -TOUCH SCREEN 128GB SSD 4GB RAM Windows 10 PRO +USB Light For Keyboard,"₦ 200,000","₦ 320,000",38%,N/A,0,0.0
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN 10 Pro+ MOUSE & USB LIGHT FOR KEYBOARD,"₦ 212,300","₦ 920,000",77%,4.2,13,130.0
Hp EliteBook 845 G7 AMD RYZEN 7 PRO - 4750U-16GB RAM/512GB SSD/Backlit Key/FP Reader Win11 Pro +BAG,"₦ 630,000","₦ 800,000",21%,N/A,0,0.0
"Hp Omen 16 Gaming 13th Gen Intel Core I7 16GB RAM/1TB SSD 16.1"" Nvidia RTX 4050 6GB WINS 11","₦ 2,500,000","₦ 2,534,900",1%,N/A,1,10.0
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Win11 Pro LAPTOPS +BAG,"₦ 509,000","₦ 550,000",7%,N/A,1,10.0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 510,000","₦ 980,000",48%,N/A,2,20.0
Hp ProBook 11 X360- TOUCH Intel Pentium 128GB 4GB RAM WIN10 Pro +,"₦ 195,000","₦ 265,000",26%,N/A,1,10.0
Hp  Stream 11 Pro Intel Celeron 4GB RAM- 64GB HDD WIN 10+ BAG,"₦ 145,000","₦ 250,000",42%,N/A,1,10.0
Hp ProBook 11 X360- Intel CELERON LAPTOPS - 512GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro,"₦ 230,000","₦ 360,000",36%,N/A,0,0.0
Hp EliteBook X360 830 G6 TOUCHSCREEN Core I5-16GB RAM/512GB SSD/Backlit Keyboard/Windows 11+ BAG,"₦ 590,000","₦ 765,000",23%,3.3,9,90.0
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD  Backlit Keyboard Win 11 Pro + BAG & HP MOUSE,"₦ 490,000","₦ 990,000",51%,N/A,3,30.0
Hp EliteBook 845 G7 AMD RYZEN 7 PRO -16GB RAM/512GB/Backlit Key,"₦ 630,000","₦ 935,000",33%,N/A,1,10.0
Hp STREAM 11 LAPTOP-CELERON-64 SSD 4GB RAM Windows 10 PRO+  & USB Light For Keyboard,"₦ 250,000",N/A,N/A,N/A,1,10.0
Hp  EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,"₦ 510,000",N/A,N/A,N/A,0,0.0
Hp Spectre 16 X360 (2024) - 14th Gen Intel Core Ultra 7 155H Processor - 16.0'' 2.8K OLED Touchscreen - 32GB RAM / 1TB SSD - 6GB Nvidia GeForce RTX 4050 - Fingerprint Reader / 9MP IR Webcam - Rechargeable Pen + USB-C Multi-Port Hub - Windows 11,"₦ 3,599,000","₦ 4,500,000",20%,N/A,0,0.0
Hp EliteBook 840 G5 Intel Corei5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Win11 Pro+pouch Mouse,"₦ 498,000",N/A,N/A,N/A,1,10.0
Hp ProBook 11 X360- TOUCH 512GB SSD/4GB CELERON QUAD CORE WIN11,"₦ 248,000","₦ 700,000",65%,N/A,0,0.0
Hp Notebook 11 Pro G5 TOUCHSCREEN-128GB SSD 4GB RAM- Intel Celeron - Windows 10 Pro + Bag,"₦ 220,000","₦ 400,000",45%,4.7,3,30.0
DELL Latitude 5410 TOUCHSCREEN 10GEN 1TB SSD/16GB RAM/ Intel Core I5/ BACKLIT KEYBOARD-WIN 11PRO,"₦ 615,000","₦ 850,000",28%,N/A,1,10.0
"DELL Latitude 3180 Intel Celeron 4GB RAM, 128GB SSD Windows 10 + Keyboard Flash Light","₦ 185,000","₦ 210,000",12%,N/A,0,0.0
"Hp CHROMEBOOK 11 ,INTEL CELERON,4GB RAM,16GB SSD","₦ 95,000",N/A,N/A,N/A,0,0.0
Hp Pro ProBook 11 X360 TOUCH INTEL CORE I5 256GB SSD- 8GB RAM Windows 11+ 32GB FLASH & POUCH BAG,"₦ 360,000",N/A,N/A,N/A,1,10.0
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/512 SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 520,000","₦ 580,000",10%,4.5,2,20.0
"Apple MacBook Pro 14"" Laptop - M3 Pro Chip - 18GB  - 14-core GPU - 512 SSD - Space Black/2023","₦ 3,350,000",N/A,N/A,N/A,3,30.0
"Hp Envy 15 X360 Touchscreen-13th Gen Intel Core I7, 16GB RAM,1TB SSD, Backlit Keyboard, Wins 11","₦ 1,590,000","₦ 1,699,000",6%,N/A,0,0.0
Hp Stream 11 Pro G5 Touchscreen Intel Celeron 128GB SSD 4GB DDR4 RAM Windows 10 Pro + Bag,"₦ 205,000","₦ 250,000",18%,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 510,000","₦ 799,000",36%,N/A,1,10.0
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,"₦ 200,000",N/A,N/A,N/A,1,10.0
Lenovo Ideapad 15 Inch Intel® Celeron® 8GB RAM DDR4 - 256 SSD Windows 11 + POUCH BAG,"₦ 371,524","₦ 958,000",61%,N/A,13,130.0
Hp Elitebook X2 Intel Core I5 256GB SSD/8GB RAM/Backlit-Keypad - TouchScreen- Windows 10 PRO+ PEN,"₦ 550,000","₦ 850,000",35%,N/A,0,0.0
Hp EliteBook 840 G6 IntelCore I5-16GB RAM/1TB SSD  WIN11+BAG,"₦ 560,000","₦ 650,000",14%,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 + BAG,"₦ 569,000","₦ 900,000",37%,N/A,2,20.0
Hp ProBook 11 X360- TOUCH Intel Pentium 256GB 8GB RAM WIN10 Pro + MOUSE,"₦ 250,000",N/A,N/A,N/A,0,0.0
DELL Latitude 5400 Intel Core I5-512GB SSD/16GB RAM Keyboard BACKLIT /WIN 11 PRO+ BAG,"₦ 450,000","₦ 750,000",40%,N/A,0,0.0
"Hp CHROMEBOOK, INTEL CELERON, 4GB RAM,32GB EMMC WINS 10","₦ 120,000",N/A,N/A,N/A,3,30.0
Hp Chromebook 11 Celeron 4gb RAM 16gb Windows10+mouse,"₦ 130,000","₦ 144,000",10%,N/A,0,0.0
Hp EliteBook 830 G5 TOUCHSCREEN Core I5-16GB RAM/512GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 565,000","₦ 760,000",26%,3.1,7,70.0
Hp STREAM 11 LAPTOP- CELERON-64GB 4D 4GB RAM Windows 10 PRO+ & USB Light For Keyboard,"₦ 250,000",N/A,N/A,3.6,5,50.0
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 250,000","₦ 305,000",18%,N/A,1,10.0
"Lenovo Ideapad Intel Celeron,4GB 256GB SSD Wins 11+Free Mouse","₦ 342,900","₦ 395,950",13%,3.9,20,200.0
"Hp CHROMEBOOK 11 ,INTEL CELERON,4GB RAM,32GB SSD","₦ 100,000",N/A,N/A,N/A,0,0.0
"Alienware M18 R2 GAMING 14TH GEN,CORE I7-14700HX,1TB SSD/16GB RAM, RTX 4070,18"" WIN 11","₦ 3,800,000","₦ 4,000,000",5%,N/A,0,0.0
"Hp FLEXIBLE USB LIGHT FOR COMPUTERS,LAPTOP & POWER BANK WHITE","₦ 2,500","₦ 9,000",72%,N/A,1,10.0
DELL Latitude 7490 TOUCHSCREEN Core I7/ 32GB RAM 1TB SSD/BACKLIGHT KEYBOARD/WIN 11PRO+BAG,"₦ 800,000","₦ 950,000",16%,3.8,6,60.0
"DELL ALIENWARE M16 R1,CORE I9-13900HX,4TB SSD/64GB RAM,16GB RTX 4090,16"" QHD+ DISPLAY,WIN 11","₦ 6,000,000",N/A,N/A,N/A,0,0.0
Hp  Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,"₦ 145,000",N/A,N/A,N/A,0,0.0
Hp ProBook 11 X360- Intel CELERON 256GB SSD-TOUCHSCREEN 4GB RAM Windows10,"₦ 200,000",N/A,N/A,N/A,0,0.0
"Lenovo Ideapad  Intel Celeron 4GB RAM 256 SSD  15.6"" Wins 10pro","₦ 339,900","₦ 359,500",5%,N/A,1,10.0
Hp NoteBook 348 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard- Windows 11 Pro + BAG,"₦ 560,000","₦ 650,000",14%,N/A,1,10.0
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000","₦ 400,000",45%,N/A,0,0.0
Hp EliteBook 840 G6 TOUCHSCREEN Intel Core I5/16GB RAM/1TB SSD WINDOW 11PRO +BAG,"₦ 585,000","₦ 980,000",40%,N/A,0,0.0
Hp Pavilion 15 11th Gen Intel Core I5 512GB SSD 16GB RAM Touchscreen/Backlit Keyboard,"₦ 1,150,000","₦ 1,190,000",3%,N/A,4,40.0
Hp EliteBook 840 G7 TOUCHSCREEN 10TH GEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard-WIN 11 Pro+ BAG,"₦ 720,000","₦ 890,000",19%,N/A,0,0.0
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 250,000","₦ 800,000",69%,N/A,1,10.0
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 32GB WINS 10,"₦ 100,000",N/A,N/A,N/A,0,0.0
Hp EliteBook 840 G5 TOUCHSCREEN Intel Core I7-32GB RAM/512GB SSD/Backlit Keyboard/ WIN 11 Pro+BAG,"₦ 750,000","₦ 900,000",17%,N/A,1,10.0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro +FAN,"₦ 510,000","₦ 950,000",46%,N/A,5,50.0
Hp Stream 11 - Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ Keyboard USB Light,"₦ 200,000","₦ 250,000",20%,N/A,0,0.0
Hp EliteBook 840 G5 TOUCHSCREEN Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 585,000","₦ 780,000",25%,N/A,2,20.0
Hp Stream 11 Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,"₦ 176,700","₦ 300,000",41%,N/A,1,10.0
"DELL Latitude 3190 2in1 X360 INTEL PENTIUM, Touchscreen 512GB SSD 8GB WIN 11 Pro","₦ 300,000","₦ 450,000",33%,3.3,4,40.0
"Hp ProBook X360 11 G1 EE Intel® Celeron®+  32GB Flash+ Mouse+ USB Light For Keyboard Processor (4GB RAM; 64GB EMMC SSD) 11.6"" HD Touch Screen Intel HD Graphics 550 Windows 10 Pro Laptop - Black.","₦ 199,000",N/A,N/A,N/A,0,0.0
Hp ProBook 11 X360- TOUCH- 1TB SSD/8GB RAM-Intel CORE I5- Windows 11 + 64GB Flash & BAG,"₦ 550,000",N/A,N/A,N/A,0,0.0
Hp EliteBook 845 G7 AMD RYZEN 7 PRO - 4750U-16GB RAM/512GB SSD/Backlit Key/FP Reader Win11 Pro +BAG,"₦ 630,000","₦ 900,000",30%,4.8,5,50.0
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Window 10 Pro + Mouse And Led Light,"₦ 210,000",N/A,N/A,N/A,1,10.0
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000","₦ 349,000",37%,N/A,0,0.0
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 760,000","₦ 900,000",16%,N/A,0,0.0
Hp EliteBook 840 G5 Intel Core I5- 12GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 10 Pro + BAG,"₦ 475,000","₦ 590,000",19%,N/A,0,0.0
"Apple MacBook Air 13.3"" Laptop - Apple M1 Chip - 8GB Memory - 256GB SSD  - Silver","₦ 1,370,000",N/A,N/A,N/A,0,0.0
"Hp CHROMEBOOK 11 INTEL CELERON, 4GB RAM,16GB SSD +BAG","₦ 120,000",N/A,N/A,N/A,0,0.0
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 + BAG,"₦ 479,000","₦ 480,000",1%,N/A,2,20.0
"Hp Omen 16 Gaming 13th Gen Intel Core I7 16GB RAM/1TB SSD 16.1"" Nvidia RTX 4050 6GB WINS 11","₦ 2,500,000","₦ 2,580,000",3%,N/A,2,20.0
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM +Mouse &USB Light,"₦ 220,000","₦ 300,000",27%,N/A,1,10.0
Hp EliteBook 840 G5 TOUCHSCREEN Core I5/8GB RAM/256GB SSD/ BACKLIT KEYBOARD/ FR READER WIN 11+BAG,"₦ 515,000","₦ 920,000",44%,N/A,0,0.0
"Hp ProBook 11 X360- TOUCH Intel Celeron 256GB SSD, 4GB RAM+MOUSE AND FLASHLIGHT","₦ 220,000","₦ 600,000",63%,4.5,4,40.0
DELL Latitude 5400 Touchscreen Intel Core I5-1TB SSD/16GB RAM Keyboard BACKLIT /WIN 11 PRO+ BAG,"₦ 530,000","₦ 750,000",29%,N/A,0,0.0
Hp Stream 11 Intel Celeron 4GB RAM- 64GB HDD WIN 10+ USB LIGHT FOR KEYBOARD,"₦ 169,000","₦ 170,000",1%,N/A,0,0.0
Lenovo Ideapad Intel Celeron 4GB RAM 256 SSD  Wins 10 Pro+ Mouse,"₦ 343,900",N/A,N/A,4.4,5,50.0
Hp Notebook 11 Pro G5 TOUCHSCREEN-512GB SSD 4GB RAM- Intel Celeron - Windows 10 Pro + Bag,"₦ 241,250","₦ 400,000",40%,4.1,10,100.0
Hp EliteBook 840 G6 Touchscreen Intel Core I5 8GB RAM/256GB SSD/Backlit Keyboard FP Wins 11 Pro,"₦ 540,000","₦ 680,900",21%,N/A,0,0.0
Hp Elitebook X2 1012 G2 Intel Core I5 256GB SSD -8GB RAM -Backlit-Keypad - Touch Windows 10 PRO + PEN,"₦ 540,000","₦ 900,000",40%,N/A,0,0.0
Hp ELITEBOOK 830 G7 TOUCH SCREEN INTEL CORE I7 512SSD 16GB RAM BACKLIT KEYBOARD WINDOWS 11PRO,"₦ 890,238","₦ 1,160,095",23%,N/A,6,60.0
Hp ELITEBOOK 830 G7 TOUCHSCREEN INTEL CORE I7 512SSD 16GB RAM BACKLIT KEYS FINGERPRINT WINS 11PRO+ Bag,"₦ 890,068",N/A,N/A,4.3,3,30.0
Hp ProBook 11 Inches X360- Intel Celeron 256GB SSD- 4GB RAM Windows 10 Pro + 32GB Flash Usb Led Light,"₦ 220,000","₦ 2,360,000",91%,N/A,0,0.0
"Hp CHROMEBOOK 11 , INTEL CELERON, 4GB RAM,64GB EMMC + FLASH","₦ 105,000",N/A,N/A,N/A,0,0.0
Hp ELITEBOOK X360 1030 G3 8TH GEN CORE I5 8GB RAM/ 512GB SSD BACKLIT KEYBOARD FP READER WIN 11 PRO,"₦ 650,000","₦ 700,000",7%,4.7,7,70.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,"₦ 190,000","₦ 350,000",46%,N/A,0,0.0
"Hp CHROMEBOOK 11 G4, INTEL CELERON, 4GB RAM,16GB SSD 32GBFLASH","₦ 120,000","₦ 220,000",45%,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5  Touchscreen 12GB RAM/256GB SSD Win 11 Pro,"₦ 545,800",N/A,N/A,N/A,1,10.0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ USB Light For Keyboard,"₦ 175,000","₦ 185,000",5%,N/A,0,0.0
Hp Probook 11 G7 X360 Touchscreen Intel Pentium 8GB DDR4 RAM 256GB SSD WIN 10 + Keyboard Flashlight,"₦ 290,000","₦ 300,000",3%,N/A,1,10.0
Apple MACBOOK AIR,"₦ 1,490,500",N/A,N/A,N/A,1,10.0
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 569,000","₦ 960,000",41%,4.7,3,30.0
Lenovo Xiaoxin Pad 2024 - 8GB + 128GB (Snapdragon 685),"₦ 395,550","₦ 635,000",38%,N/A,0,0.0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 579,000","₦ 910,000",36%,3.8,9,90.0
"Hpaay C 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD NVIDIA RTX 3050 (4GB) WINS 11","₦ 1,421,000","₦ 1,520,000",7%,4.3,7,70.0
Hp NoteBook 348 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard- Windows 11 Pro + BAG,"₦ 560,000","₦ 650,000",14%,N/A,0,0.0
"Alienware M18 R2 GAMING 14TH GEN,CORE I7-14700HX,1TB SSD/16GB RAM, RTX 4070,18"" WIN 11","₦ 3,798,000","₦ 4,100,000",7%,N/A,0,0.0
Hp EliteBook 830 G6 X360 TOUCHSCREEN Core I5-8GB RAM/256GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 530,000","₦ 750,000",29%,N/A,1,10.0
Hp EliteBook 840 G5 Intel Core I5-TOUCHSCREEN 16GB RAM/512GB SSD/Backlit Keyboard/FP Wins 11 Pro + BAG,"₦ 510,000","₦ 580,000",12%,N/A,0,0.0
"Apple MacBook Air 13"" M1 Chip  8GB 256GB 2020 Model - Gray","₦ 1,370,000",N/A,N/A,N/A,11,110.0
Hp ELITEBOOK X360 830 G7 TOUCHSCREEN CORE I5 16GB RAM/512GB SSD BACKLIT KEYBOARD/ FP READER- WINDOW 11,"₦ 765,000",N/A,N/A,4.3,4,40.0
Asus VIVOBOOK FLIP 14 X360 PENTIUM N6000 4GB RAM/512GB SSD TOUCH/BACKLIT KEYBOARD WINS 11+ STYLUS PEN,"₦ 549,500",N/A,N/A,N/A,0,0.0
Hp EliteBook 830 G6 TOUCHSCREEN Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+ BAG,"₦ 540,000","₦ 702,000",23%,N/A,0,0.0
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB SSD 4GB RAM Win11,"₦ 237,999",N/A,N/A,N/A,0,0.0
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 64GB WINS 10,"₦ 105,000",N/A,N/A,N/A,0,0.0
DELL Hp ProBook 11 X360- 512GB SSD- TOUCHSCREEN Intel CELERON 4GB RAM WIN10 Pro+ Usb Light,"₦ 250,000","₦ 500,000",50%,N/A,1,10.0
Hp Stream11intel Celeron D/C 64GB HDD+4GB RAM+Win10 Pro,"₦ 170,000",N/A,N/A,N/A,0,0.0
